Sum of Budget,CollaboratingCountries,Country,Sum of DurationDays,EnvironmentalImpact,Year,Quarter,Month,Day,Sum of LaunchMonth,LaunchSite,Sum of LaunchYear,MissionName,MissionType,Sum of QuarterOfYear,SatelliteType,Sum of SuccessRate,TechnologyUsed
$46.2M,"Japan, Uk",Japan,322,Medium,1905,Qtr 3,July,16,7,Williamsburgh,1905,Programmable Global Ability,Unmanned,3,Spy,62,Ai Navigation
$12.4M,"Japan, Uk",Uae,312,Medium,1905,Qtr 3,July,17,7,North Anna,1905,Switchable Exuding Throughput,Unmanned,3,Navigation,62,Solar Propulsion
$19.2M,"Japan, Uk",Usa,3,Low,1905,Qtr 3,July,8,7,South Peggy,1905,Centralized Regional Database,Unmanned,3,Research,56,Traditional Rocket
$25.7M,"Japan, Uk, France",Russia,265,Low,1905,Qtr 2,June,29,6,Paulmouth,1905,Persevering System-Worthy Functionalities,Manned,2,Research,71,Nuclear Propulsion
$27.7M,"Japan, Uk, Germany",Germany,4,Low,1905,Qtr 3,July,4,7,Emmamouth,1905,Reduced Bifurcated Customer Loyalty,Manned,3,Navigation,58,Reusable Rocket
$28.0M,"Japan, Uk, India",China,359,High,1905,Qtr 3,July,8,7,Christopherstad,1905,Streamlined Executive Knowledgebase,Manned,3,Communication,78,Nuclear Propulsion
$31.7M,"Japan, Uk, India",Russia,307,Medium,1905,Qtr 2,June,29,6,Matthewshire,1905,Assimilated Composite Hierarchy,Manned,2,Communication,56,Solar Propulsion
$11.1M,"Japan, Uk, India",Usa,192,High,1905,Qtr 2,June,24,6,Freemantown,1905,Decentralized Object-Oriented Secured Line,Manned,2,Navigation,100,Solar Propulsion
$14.4M,"Japan, Uk, Russia",India,79,Low,1905,Qtr 2,June,27,6,Nguyenfurt,1905,Focused Needs-Based Algorithm,Manned,2,Navigation,63,Solar Propulsion
$23.2M,"Japan, Uk, Russia",Israel,84,High,1905,Qtr 3,July,17,7,Paulaview,1905,Grass-Roots Modular Extranet,Unmanned,3,Communication,90,Solar Propulsion
$37.5M,"Japan, Uk, Russia",Usa,189,High,1905,Qtr 3,July,10,7,West Collinfurt,1905,Face-To-Face Bi-Directional Benchmark,Unmanned,3,Communication,86,Traditional Rocket
$9.0M,"Japan, Uk, Uae",France,144,Medium,1905,Qtr 3,July,1,7,Martinport,1905,Multi-Lateral Logistical Archive,Manned,3,Communication,89,Nuclear Propulsion
$37.0M,"Japan, Uk, Uae",Japan,172,Low,1905,Qtr 3,July,13,7,New Rachel,1905,Mandatory User-Facing Definition,Unmanned,3,Research,98,Reusable Rocket
$24.0M,"Japan, Uk, Uae",Uae,129,Low,1905,Qtr 3,July,16,7,New Steven,1905,Assimilated Asymmetric Approach,Unmanned,3,Weather,59,Ai Navigation
$3.8M,"Japan, Usa",France,164,High,1905,Qtr 3,July,14,7,Jennifermouth,1905,Down-Sized System-Worthy Productivity,Unmanned,3,Weather,76,Traditional Rocket
$14.4M,"Japan, Usa",France,51,High,1905,Qtr 3,July,15,7,Port Bonnieport,1905,Streamlined Explicit Graphical User Interface,Unmanned,3,Communication,97,Traditional Rocket
$26.8M,"Japan, Usa",India,72,High,1905,Qtr 3,July,9,7,Port Danielberg,1905,User-Friendly Tangible Focus Group,Unmanned,3,Navigation,89,Ai Navigation
$3.0M,"Japan, Usa",India,95,Low,1905,Qtr 3,July,2,7,North Harold,1905,Organized Transitional Core,Unmanned,3,Weather,53,Nuclear Propulsion
$41.1M,"Japan, Usa",Israel,353,Medium,1905,Qtr 2,June,23,6,Port Angelica,1905,Reduced Discrete Customer Loyalty,Unmanned,2,Weather,62,Solar Propulsion
$39.2M,"Japan, Usa",Japan,105,High,1905,Qtr 3,July,10,7,New Chadton,1905,Pre-Emptive Human-Resource Adapter,Manned,3,Research,77,Ai Navigation
$20.3M,"Japan, Usa",Japan,27,Low,1905,Qtr 3,July,8,7,Websterville,1905,Distributed Cohesive Core,Unmanned,3,Spy,58,Nuclear Propulsion
$45.6M,"Japan, Usa",Japan,205,Medium,1905,Qtr 3,July,5,7,East Angela,1905,Cloned 24/7 Collaboration,Unmanned,3,Research,91,Reusable Rocket
$39.3M,"Japan, Usa",Russia,358,Low,1905,Qtr 3,July,12,7,Port Tiffany,1905,Enhanced Dynamic Installation,Manned,3,Research,96,Solar Propulsion
$1.9M,"Japan, Usa",Uae,209,High,1905,Qtr 2,June,23,6,Jenniferfort,1905,Triple-Buffered Content-Based Algorithm,Unmanned,2,Weather,90,Traditional Rocket
$46.0M,"Japan, Usa",Uae,167,Medium,1905,Qtr 3,July,10,7,North Thomasberg,1905,Object-Based Mobile Circuit,Manned,3,Weather,52,Traditional Rocket
$44.2M,"Japan, Usa",Uk,157,High,1905,Qtr 2,June,23,6,Scottbury,1905,Down-Sized Solution-Oriented Software,Manned,2,Research,54,Solar Propulsion
$4.2M,"Japan, Usa",Usa,155,Medium,1905,Qtr 3,July,5,7,New Cassandraside,1905,Digitized Intangible Encryption,Manned,3,Navigation,73,Nuclear Propulsion
$17.7M,"Japan, Usa, China",Israel,335,High,1905,Qtr 3,July,16,7,Robertsland,1905,Cross-Platform Motivating Extranet,Unmanned,3,Spy,89,Reusable Rocket
$15.4M,"Japan, Usa, China",Japan,339,High,1905,Qtr 3,July,16,7,Annamouth,1905,Re-Contextualized Uniform Implementation,Unmanned,3,Communication,50,Solar Propulsion
$40.1M,"Japan, Usa, China",Russia,48,Medium,1905,Qtr 3,July,8,7,Salasmouth,1905,Exclusive Regional Service-Desk,Manned,3,Research,87,Traditional Rocket
$2.8M,"Japan, Usa, China",Uk,151,Medium,1905,Qtr 3,July,1,7,East Jameshaven,1905,Future-Proofed Regional Algorithm,Manned,3,Navigation,79,Reusable Rocket
$6.5M,"Japan, Usa, France",India,315,High,1905,Qtr 2,June,30,6,Carterberg,1905,De-Engineered Attitude-Oriented Frame,Unmanned,2,Spy,87,Traditional Rocket
$13.5M,"Japan, Usa, France",India,139,Low,1905,Qtr 2,June,27,6,Port Heathertown,1905,Profound Zero Tolerance Toolset,Unmanned,2,Communication,84,Solar Propulsion
$43.3M,"Japan, Usa, France",Israel,235,Low,1905,Qtr 3,July,6,7,East Eric,1905,Right-Sized Background Capability,Manned,3,Navigation,76,Ai Navigation
$16.1M,"Japan, Usa, France",Russia,218,Low,1905,Qtr 3,July,9,7,Briggsfort,1905,Up-Sized Foreground Portal,Unmanned,3,Weather,78,Ai Navigation
$27.8M,"Japan, Usa, Germany",Russia,13,High,1905,Qtr 3,July,12,7,New Paula,1905,Reduced Static Groupware,Manned,3,Research,70,Solar Propulsion
$11.0M,"Japan, Usa, India",France,235,Medium,1905,Qtr 2,June,28,6,New Benjamin,1905,Extended Optimizing Analyzer,Unmanned,2,Spy,73,Nuclear Propulsion
$40.0M,"Japan, Usa, India",Germany,258,Low,1905,Qtr 3,July,2,7,South Whitney,1905,Up-Sized Fault-Tolerant Superstructure,Manned,3,Navigation,77,Solar Propulsion
$14.6M,"Japan, Usa, India",Germany,93,Medium,1905,Qtr 3,July,5,7,Grahamfurt,1905,Switchable Impactful Graphical User Interface,Unmanned,3,Communication,65,Ai Navigation
$5.3M,"Japan, Usa, Israel",Germany,57,Low,1905,Qtr 3,July,4,7,East Renee,1905,Front-Line Global Focus Group,Unmanned,3,Weather,86,Nuclear Propulsion
$40.5M,"Japan, Usa, Israel",Israel,294,High,1905,Qtr 3,July,9,7,West William,1905,Function-Based Local Framework,Manned,3,Spy,51,Reusable Rocket
$27.5M,"Japan, Usa, Israel",Israel,164,Low,1905,Qtr 2,June,24,6,New Kyle,1905,Universal Even-Keeled Groupware,Manned,2,Communication,51,Nuclear Propulsion
$6.5M,"Japan, Usa, Russia",China,263,High,1905,Qtr 3,July,12,7,Pennyside,1905,Profound 24Hour Internet Solution,Unmanned,3,Research,50,Traditional Rocket
$19.2M,"Japan, Usa, Uk",Uk,195,Medium,1905,Qtr 3,July,9,7,Jamesstad,1905,Multi-Tiered Context-Sensitive Budgetary Management,Manned,3,Spy,82,Solar Propulsion
$39.3M,Russia,China,197,High,1905,Qtr 2,June,26,6,North Danamouth,1905,Profound Heuristic Internet Solution,Manned,2,Research,88,Reusable Rocket
$10.6M,Russia,China,251,High,1905,Qtr 3,July,13,7,South Sarah,1905,Up-Sized Coherent Info-Mediaries,Manned,3,Communication,80,Nuclear Propulsion
$28.1M,Russia,China,307,Low,1905,Qtr 2,June,28,6,New Madisonbury,1905,Versatile Zero Administration Encryption,Unmanned,2,Navigation,52,Ai Navigation
$43.3M,Russia,China,57,Low,1905,Qtr 3,July,1,7,North Sarahfurt,1905,Networked Leadingedge Utilization,Manned,3,Research,52,Traditional Rocket
$24.1M,Russia,China,316,Low,1905,Qtr 3,July,10,7,Port Sandraland,1905,Fundamental Scalable Graphic Interface,Manned,3,Communication,61,Reusable Rocket
$22.0M,Russia,China,364,Low,1905,Qtr 3,July,11,7,West Zachary,1905,Multi-Layered Next Generation Encoding,Manned,3,Navigation,87,Traditional Rocket
$18.5M,Russia,China,234,Medium,1905,Qtr 2,June,26,6,Douglasmouth,1905,Switchable Zero Administration Productivity,Unmanned,2,Research,60,Traditional Rocket
$2.5M,Russia,China,364,Medium,1905,Qtr 3,July,1,7,New Jamie,1905,Fundamental Responsive Leverage,Manned,3,Weather,72,Traditional Rocket
$6.5M,Russia,China,297,Medium,1905,Qtr 3,July,2,7,East Karen,1905,Visionary Dynamic Capacity,Manned,3,Navigation,52,Traditional Rocket
$48.6M,Russia,China,84,Medium,1905,Qtr 3,July,5,7,Wilsonberg,1905,Front-Line National Protocol,Unmanned,3,Navigation,53,Reusable Rocket
$3.6M,Russia,China,76,Medium,1905,Qtr 3,July,6,7,West Shannonview,1905,Exclusive Secondary Installation,Unmanned,3,Spy,87,Solar Propulsion
$16.0M,Russia,China,332,Medium,1905,Qtr 3,July,13,7,Connieton,1905,Multi-Tiered Tertiary Flexibility,Unmanned,3,Research,88,Nuclear Propulsion
$40.5M,Russia,France,155,High,1905,Qtr 2,June,26,6,Hannaview,1905,Decentralized Background Artificial Intelligence,Unmanned,2,Communication,84,Nuclear Propulsion
$13.9M,Russia,France,208,Low,1905,Qtr 2,June,27,6,Chenview,1905,Persistent Tangible Graphic Interface,Manned,2,Spy,91,Ai Navigation
$34.3M,Russia,France,13,Low,1905,Qtr 2,June,27,6,East Cheyenne,1905,Intuitive Intangible Database,Unmanned,2,Research,76,Solar Propulsion
$26.4M,Russia,France,133,Low,1905,Qtr 2,June,30,6,Christinabury,1905,Ergonomic Background Firmware,Unmanned,2,Weather,59,Ai Navigation
$29.5M,Russia,France,15,Low,1905,Qtr 2,June,30,6,Port Scottbury,1905,Cross-Group Demand-Driven Instruction Set,Unmanned,2,Spy,52,Ai Navigation
$31.4M,Russia,France,90,Low,1905,Qtr 3,July,1,7,Melissaview,1905,Optimized Homogeneous Frame,Unmanned,3,Weather,61,Solar Propulsion
$42.7M,Russia,France,318,Low,1905,Qtr 3,July,1,7,South Sandrahaven,1905,Robust Attitude-Oriented Hierarchy,Unmanned,3,Research,86,Traditional Rocket
$46.3M,Russia,France,5,Low,1905,Qtr 3,July,3,7,New Aliciabury,1905,Balanced Local Moratorium,Unmanned,3,Research,86,Reusable Rocket
$47.1M,Russia,France,86,Medium,1905,Qtr 2,June,22,6,West Kevinview,1905,Adaptive Zero Administration Standardization,Unmanned,2,Navigation,99,Solar Propulsion
$20.9M,Russia,France,96,Medium,1905,Qtr 2,June,24,6,East Laceyville,1905,Mandatory High-Level Local Area Network,Unmanned,2,Research,78,Traditional Rocket
$47.5M,Russia,France,144,Medium,1905,Qtr 2,June,30,6,Port Emily,1905,Integrated Real-Time Moratorium,Manned,2,Spy,97,Nuclear Propulsion
$36.8M,Russia,France,276,Medium,1905,Qtr 3,July,5,7,Karenshire,1905,Intuitive Intangible Firmware,Unmanned,3,Research,90,Solar Propulsion
$1.7M,Russia,France,189,Medium,1905,Qtr 3,July,11,7,Howardport,1905,Optional Multimedia Parallelism,Manned,3,Weather,93,Reusable Rocket
$2.3M,Russia,Germany,317,High,1905,Qtr 3,July,8,7,Carterbury,1905,Quality-Focused Even-Keeled Functionalities,Manned,3,Weather,88,Traditional Rocket
$18.4M,Russia,Germany,88,Low,1905,Qtr 2,June,22,6,Herreraland,1905,Exclusive Cohesive Process Improvement,Unmanned,2,Spy,96,Reusable Rocket
$31.0M,Russia,Germany,20,Low,1905,Qtr 2,June,22,6,Ryantown,1905,Persevering High-Level System Engine,Manned,2,Research,51,Reusable Rocket
$14.8M,Russia,Germany,245,Low,1905,Qtr 3,July,12,7,Aaronmouth,1905,Persistent Heuristic Complexity,Manned,3,Research,52,Reusable Rocket
$17.1M,Russia,Germany,63,Medium,1905,Qtr 3,July,1,7,East Xavierborough,1905,Secured Non-Volatile Policy,Manned,3,Research,55,Ai Navigation
$9.7M,Russia,Germany,212,Medium,1905,Qtr 3,July,3,7,Suzanneville,1905,Cross-Group System-Worthy Workforce,Manned,3,Navigation,84,Traditional Rocket
$49.8M,Russia,India,314,High,1905,Qtr 3,July,1,7,South Nicholas,1905,Total Leadingedge Orchestration,Unmanned,3,Communication,90,Reusable Rocket
$26.6M,Russia,India,353,Low,1905,Qtr 3,July,10,7,Perezview,1905,Persevering Well-Modulated Function,Unmanned,3,Research,58,Ai Navigation
$33.7M,Russia,India,64,Medium,1905,Qtr 2,June,22,6,Derrickview,1905,Compatible Optimal Workforce,Unmanned,2,Communication,69,Reusable Rocket
$9.7M,Russia,India,94,Medium,1905,Qtr 2,June,26,6,South Olivia,1905,Expanded Neutral Strategy,Unmanned,2,Navigation,55,Solar Propulsion
$45.4M,Russia,India,289,Medium,1905,Qtr 3,July,6,7,Villanuevaton,1905,Synchronized Disintermediate Function,Manned,3,Spy,65,Nuclear Propulsion
$3.8M,Russia,India,338,Medium,1905,Qtr 3,July,14,7,North Tinaburgh,1905,Adaptive Tangible Installation,Manned,3,Navigation,82,Reusable Rocket
$49.3M,Russia,India,171,Medium,1905,Qtr 3,July,17,7,Lake Jamie,1905,Future-Proofed System-Worthy Extranet,Manned,3,Research,67,Nuclear Propulsion
$49.6M,Russia,Israel,345,High,1905,Qtr 3,July,5,7,Port Sarahfort,1905,Cloned Object-Oriented Framework,Manned,3,Research,84,Traditional Rocket
$6.7M,Russia,Israel,361,High,1905,Qtr 3,July,9,7,Jefferyland,1905,Persevering Stable Hub,Manned,3,Communication,92,Solar Propulsion
$0.9M,Russia,Israel,101,High,1905,Qtr 3,July,9,7,New Jeffrey,1905,User-Centric 24/7 Capability,Manned,3,Research,85,Traditional Rocket
$26.8M,Russia,Israel,327,Low,1905,Qtr 3,July,3,7,Tylerberg,1905,Programmable Background Internet Solution,Unmanned,3,Communication,56,Nuclear Propulsion
$36.8M,Russia,Israel,78,Low,1905,Qtr 3,July,9,7,Ryanville,1905,Grass-Roots Neutral System Engine,Manned,3,Navigation,77,Ai Navigation
$44.0M,Russia,Israel,137,Low,1905,Qtr 3,July,13,7,South Rebeccahaven,1905,Fundamental Eco-Centric Software,Manned,3,Communication,100,Traditional Rocket
$31.4M,Russia,Israel,300,Low,1905,Qtr 3,July,15,7,Jameshaven,1905,Reverse-Engineered Non-Volatile Knowledgebase,Manned,3,Navigation,84,Nuclear Propulsion
$21.8M,Russia,Israel,33,Medium,1905,Qtr 2,June,25,6,South Matthew,1905,Inverse Holistic Utilization,Manned,2,Spy,76,Ai Navigation
$41.4M,Russia,Israel,17,Medium,1905,Qtr 3,July,17,7,Lake Jackside,1905,Total Regional Hardware,Manned,3,Weather,84,Solar Propulsion
$37.1M,Russia,Japan,252,High,1905,Qtr 2,June,24,6,Timview,1905,Proactive Empowering Definition,Unmanned,2,Research,65,Nuclear Propulsion
$9.5M,Russia,Japan,305,High,1905,Qtr 3,July,4,7,East Janebury,1905,Expanded Actuating Solution,Unmanned,3,Weather,93,Nuclear Propulsion
$41.1M,Russia,Japan,46,High,1905,Qtr 3,July,5,7,South Lisamouth,1905,Cross-Group Grid-Enabled Concept,Unmanned,3,Weather,51,Ai Navigation
$8.3M,Russia,Japan,234,Low,1905,Qtr 2,June,23,6,Lowerybury,1905,Exclusive Clear-Thinking Monitoring,Manned,2,Weather,54,Solar Propulsion
$12.2M,Russia,Japan,123,Low,1905,Qtr 2,June,23,6,New Sherriberg,1905,Organic Real-Time Archive,Manned,2,Weather,77,Solar Propulsion
$13.3M,Russia,Japan,110,Low,1905,Qtr 2,June,26,6,South Miguel,1905,Phased Radical Utilization,Manned,2,Weather,66,Traditional Rocket
$4.8M,Russia,Japan,171,Low,1905,Qtr 2,June,27,6,New Steven,1905,Optional Hybrid Contingency,Unmanned,2,Spy,94,Ai Navigation
$42.9M,Russia,Japan,227,Low,1905,Qtr 3,July,7,7,Millermouth,1905,Operative Optimal Budgetary Management,Unmanned,3,Spy,91,Solar Propulsion
$18.1M,Russia,Japan,36,Low,1905,Qtr 3,July,8,7,Port Teresa,1905,Horizontal Bifurcated Methodology,Unmanned,3,Communication,65,Ai Navigation
$20.1M,Russia,Japan,153,Medium,1905,Qtr 3,July,4,7,East Blake,1905,Team-Oriented Solution-Oriented Methodology,Unmanned,3,Weather,97,Nuclear Propulsion
$25.7M,Russia,Japan,73,Medium,1905,Qtr 3,July,7,7,Briannaside,1905,Synchronized Intermediate Firmware,Unmanned,3,Weather,85,Solar Propulsion
$32.7M,Russia,Japan,14,Medium,1905,Qtr 3,July,8,7,Deborahmouth,1905,Managed Attitude-Oriented Extranet,Unmanned,3,Research,96,Nuclear Propulsion
$40.5M,Russia,Russia,122,High,1905,Qtr 2,June,25,6,Ayersmouth,1905,Organic Secondary Strategy,Unmanned,2,Spy,56,Nuclear Propulsion
$17.1M,Russia,Russia,39,High,1905,Qtr 2,June,25,6,South Brittneymouth,1905,Pre-Emptive Modular Infrastructure,Unmanned,2,Research,54,Nuclear Propulsion
$29.9M,Russia,Russia,285,High,1905,Qtr 2,June,29,6,Keithborough,1905,Realigned Context-Sensitive Archive,Manned,2,Research,74,Nuclear Propulsion
$8.3M,Russia,Russia,172,High,1905,Qtr 3,July,4,7,Kaylaview,1905,Total Zero Tolerance Middleware,Manned,3,Spy,84,Reusable Rocket
$4.5M,Russia,Russia,122,High,1905,Qtr 3,July,8,7,Lake Austinmouth,1905,Organized Client-Driven Approach,Manned,3,Navigation,61,Reusable Rocket
$19.9M,Russia,Russia,91,High,1905,Qtr 3,July,12,7,Douglasland,1905,Multi-Layered Zero Administration Orchestration,Manned,3,Navigation,92,Nuclear Propulsion
$43.9M,Russia,Russia,255,High,1905,Qtr 3,July,13,7,Snyderfort,1905,Open-Architected National Instruction Set,Unmanned,3,Navigation,87,Traditional Rocket
$42.9M,Russia,Russia,31,Low,1905,Qtr 2,June,23,6,West Amyton,1905,Programmable Static Extranet,Unmanned,2,Research,90,Ai Navigation
$7.5M,Russia,Russia,287,Low,1905,Qtr 2,June,29,6,Hernandezchester,1905,Robust Empowering Contingency,Manned,2,Communication,56,Reusable Rocket
$38.9M,Russia,Russia,291,Low,1905,Qtr 3,July,3,7,Boydview,1905,Future-Proofed Multi-Tasking Definition,Unmanned,3,Communication,56,Reusable Rocket
$23.9M,Russia,Russia,303,Low,1905,Qtr 3,July,14,7,North Gailmouth,1905,Seamless Context-Sensitive Interface,Manned,3,Research,89,Traditional Rocket
$30.8M,Russia,Russia,148,Medium,1905,Qtr 3,July,2,7,Josephhaven,1905,Polarized Impactful Core,Unmanned,3,Navigation,99,Reusable Rocket
$34.8M,Russia,Uae,99,High,1905,Qtr 2,June,23,6,East Tina,1905,Team-Oriented Context-Sensitive Interface,Manned,2,Spy,78,Nuclear Propulsion
$39.6M,Russia,Uae,261,High,1905,Qtr 3,July,4,7,Lake Barryland,1905,User-Friendly Multi-Tasking Application,Unmanned,3,Navigation,72,Ai Navigation
$10.7M,Russia,Uae,186,High,1905,Qtr 3,July,7,7,New Amy,1905,Profound Bandwidth-Monitored Benchmark,Manned,3,Spy,61,Nuclear Propulsion
$38.6M,Russia,Uae,357,High,1905,Qtr 3,July,17,7,Lake Andrew,1905,Sharable Impactful Model,Manned,3,Research,51,Ai Navigation
$49.0M,Russia,Uae,174,Low,1905,Qtr 2,June,23,6,Cannonchester,1905,Reduced Asymmetric Encryption,Unmanned,2,Research,70,Ai Navigation
$46.2M,Russia,Uae,7,Low,1905,Qtr 2,June,26,6,Port Greg,1905,Ergonomic Discrete Solution,Manned,2,Navigation,58,Solar Propulsion
$3.1M,Russia,Uae,127,Low,1905,Qtr 2,June,30,6,Williamsborough,1905,Configurable Stable Encryption,Manned,2,Navigation,74,Nuclear Propulsion
$36.0M,Russia,Uae,259,Low,1905,Qtr 3,July,8,7,East Amber,1905,Advanced Intermediate Application,Unmanned,3,Spy,56,Reusable Rocket
$28.4M,Russia,Uae,18,Low,1905,Qtr 3,July,11,7,Deckerside,1905,Extended 24Hour Leverage,Unmanned,3,Spy,83,Reusable Rocket
$18.0M,Russia,Uae,170,Low,1905,Qtr 3,July,17,7,Wyattbury,1905,Down-Sized Bandwidth-Monitored Architecture,Unmanned,3,Navigation,53,Nuclear Propulsion
$48.2M,Russia,Uae,287,Medium,1905,Qtr 3,July,3,7,South Amber,1905,Mandatory Dedicated Collaboration,Manned,3,Research,77,Ai Navigation
$11.5M,Russia,Uae,355,Medium,1905,Qtr 3,July,9,7,New Mark,1905,Up-Sized Well-Modulated Superstructure,Unmanned,3,Spy,82,Ai Navigation
$30.9M,Russia,Uae,142,Medium,1905,Qtr 3,July,15,7,Briantown,1905,Visionary Bi-Directional Project,Unmanned,3,Navigation,98,Solar Propulsion
$42.9M,Russia,Uk,266,High,1905,Qtr 2,June,25,6,Waltersberg,1905,Multi-Lateral Uniform Middleware,Unmanned,2,Research,96,Traditional Rocket
$11.9M,Russia,Uk,338,High,1905,Qtr 2,June,28,6,Harrisfurt,1905,Multi-Layered Contextually-Based Help-Desk,Manned,2,Spy,78,Reusable Rocket
$0.9M,Russia,Uk,328,High,1905,Qtr 3,July,7,7,Lake Zoefurt,1905,Integrated Grid-Enabled Project,Manned,3,Communication,62,Traditional Rocket
$33.6M,Russia,Uk,165,High,1905,Qtr 3,July,11,7,Joshuafort,1905,Innovative Disintermediate Installation,Unmanned,3,Weather,80,Reusable Rocket
$13.0M,Russia,Uk,80,High,1905,Qtr 3,July,16,7,Port Joshua,1905,Configurable Web-Enabled Core,Manned,3,Communication,89,Traditional Rocket
$16.5M,Russia,Uk,1,Low,1905,Qtr 3,July,13,7,West Morgan,1905,Distributed Grid-Enabled Algorithm,Unmanned,3,Spy,94,Reusable Rocket
$21.8M,Russia,Uk,145,Low,1905,Qtr 3,July,17,7,New Amandafort,1905,Open-Source Holistic Array,Manned,3,Spy,97,Nuclear Propulsion
$18.3M,Russia,Uk,168,Medium,1905,Qtr 2,June,26,6,Hartmanview,1905,Profit-Focused 24Hour Matrices,Manned,2,Weather,87,Traditional Rocket
$31.2M,Russia,Uk,349,Medium,1905,Qtr 3,July,16,7,North Nicholasmouth,1905,Operative Intermediate Service-Desk,Manned,3,Navigation,56,Ai Navigation
$8.9M,Russia,Usa,243,High,1905,Qtr 2,June,26,6,Sotoborough,1905,Implemented Leadingedge Capability,Manned,2,Navigation,51,Reusable Rocket
$2.5M,Russia,Usa,360,High,1905,Qtr 2,June,27,6,Simmonsstad,1905,Decentralized Multi-Tasking Installation,Unmanned,2,Research,62,Nuclear Propulsion
$41.3M,Russia,Usa,69,Low,1905,Qtr 2,June,23,6,Kaneborough,1905,Self-Enabling Impactful Ability,Manned,2,Research,51,Ai Navigation
$17.4M,Russia,Usa,82,Low,1905,Qtr 2,June,26,6,East Nathanview,1905,Fully-Configurable Zero-Defect Firmware,Unmanned,2,Communication,88,Solar Propulsion
$4.6M,Russia,Usa,25,Low,1905,Qtr 2,June,27,6,Lake Amanda,1905,Reactive Composite Local Area Network,Manned,2,Navigation,79,Ai Navigation
$36.1M,Russia,Usa,143,Low,1905,Qtr 3,July,3,7,Tapiamouth,1905,Pre-Emptive Scalable Installation,Unmanned,3,Research,98,Solar Propulsion
$44.9M,Russia,Usa,311,Low,1905,Qtr 3,July,4,7,Lake Monique,1905,Expanded Homogeneous Concept,Unmanned,3,Weather,59,Nuclear Propulsion
